sampleID	Richness	Shannon	Simpson	Pielou	goods_coverage	source	group
ABCN1	0	6.56313676437801	0.998000319456682	0	1	Feces	Rectum
ABCN10	0	6.07547293702849	0.996811154368867	0	1	Feces	Rectum
ABCN11	0	6.28850322905454	0.997415810285142	0	1	Feces	Rectum
ABCN12	0	6.41773447042466	0.997002031146317	0	1	Feces	Rectum
ABCN13	0	6.5791374203582	0.99815256564404	0	1	Feces	Rectum
ABCN14	0	6.11115339157219	0.994036142654634	0	1	Feces	Rectum
ABCN15	0	6.47490248553376	0.997606527721777	0	1	Feces	Rectum
ABCN16	0	6.60449061808341	0.998082402513925	0	1	Feces	Rectum
ABCN17	0	6.6773407793431	0.998456033275318	0	1	Feces	Rectum
ABCN18	0	6.93537514259472	0.998794763256209	0	1	Feces	Rectum
ABCN19	0	6.82718445600333	0.998613818365162	0	1	Feces	Rectum
ABCN2	0	6.3261832042133	0.99742418162917	0	1	Feces	Rectum
ABCN20	0	6.65054355477469	0.997536544451364	0	1	Feces	Rectum
ABCN21	0	6.81584319419667	0.998578769515769	0	1	Feces	Rectum
ABCN22	0	6.55487448730162	0.998032276032822	0	1	Feces	Rectum
ABCN23	0	6.70325849690626	0.998100856374185	0	1	Feces	Rectum
ABCN24	0	6.59957664214186	0.997609348508402	0	1	Feces	Rectum
ABCN25	0	6.80528158544794	0.998439746920257	0	1	Feces	Rectum
ABCN26	0	6.11899158415562	0.996368759875409	0	1	Feces	Rectum
ABCN27	0	6.6973310562885	0.998373918776937	0	1	Feces	Rectum
ABCN28	0	6.23447225495591	0.996680895335611	0	1	Feces	Rectum
ABCN29	0	6.20652566346031	0.996719181028934	0	1	Feces	Rectum
ABCN3	0	6.43746721054177	0.997494540797124	0	1	Feces	Rectum
ABCN30	0	6.60252660383425	0.997274708316444	0	1	Feces	Rectum
ABCN31	0	5.93406763315495	0.995391897989306	0	1	Feces	Rectum
ABCN32	0	6.66706034540053	0.998275473070063	0	1	Feces	Rectum
ABCN33	0	6.76598907089547	0.998455615401754	0	1	Feces	Rectum
ABCN4	0	6.28959499707547	0.996626607465997	0	1	Feces	Rectum
ABCN5	0	6.3169731025936	0.997636909703142	0	1	Feces	Rectum
ABCN6	0	6.68328419284741	0.998244212999352	0	1	Feces	Rectum
ABCN7	0	6.20938043911102	0.997220991210971	0	1	Feces	Rectum
ABCN8	0	6.62745843040412	0.998297909809653	0	1	Feces	Rectum
ABCN9	0	6.29574930698379	0.997143082368107	0	1	Feces	Rectum
ABDN1	0	4.37224754000297	0.97085529369543	0	1	Feces	Rectum
ABGD10	0	6.54054638208797	0.997397814620011	0	1	Feces	Rectum
ABGD11	0	6.08158020360403	0.993617039174791	0	1	Feces	Rectum
ABGD2	0	6.42537768764146	0.997454245751514	0	1	Feces	Rectum
ABGD3	0	6.92764387050453	0.998697057676485	0	1	Feces	Rectum
ABGD4	0	6.68090794066077	0.998148895334188	0	1	Feces	Rectum
ABGD5	0	6.61304214603767	0.998252457399677	0	1	Feces	Rectum
ABGD6	0	6.23506357951149	0.997110095274438	0	1	Feces	Rectum
ABGD7	0	6.40930015635999	0.997557061915046	0	1	Feces	Rectum
ABGD8	0	6.44619515959535	0.997733629210706	0	1	Feces	Rectum
ABGD9	0	6.27583219613946	0.9967863337964	0	1	Feces	Rectum
BLJ1	0	6.51111986641656	0.997843379261863	0	1	Feces	Rectum
BLJ10	0	6.10265261936292	0.995602444106775	0	1	Feces	Rectum
BLJ11	0	6.53097097882822	0.998087867891116	0	1	Feces	Rectum
BLJ12	0	6.31903876490204	0.997217979824943	0	1	Feces	Rectum
BLJ13	0	6.34076008372108	0.996394537158822	0	1	Feces	Rectum
BLJ14	0	6.71178790527211	0.998157567537522	0	1	Feces	Rectum
