sampleID	source	group
FGD10_S137_L002	Feces	Rectum
FGD11_S138_L002	Feces	Rectum
FGD12_S139_L002	Feces	Rectum
FGD13_S140_L002	Feces	Rectum
FGD14_S141_L002	Feces	Rectum
FGD1_S1_L003	Feces	Rectum
FGD2_S2_L003	Feces	Rectum
FGD3_S3_L003	Feces	Rectum
FGD4_S4_L003	Feces	Rectum
FGD5_S5_L003	Feces	Rectum
FGD6_S6_L003	Feces	Rectum
FGD7_S7_L003	Feces	Rectum
FGD8_S8_L003	Feces	Rectum
FGD9_S9_L003	Feces	Rectum
MGD10_S151_L002	Feces	Rectum
MGD11_S152_L002	Feces	Rectum
MGD12_S153_L002	Feces	Rectum
MGD1_S142_L002	Feces	Rectum
MGD2_S143_L002	Feces	Rectum
MGD3_S144_L002	Feces	Rectum
MGD4_S145_L002	Feces	Rectum
MGD5_S146_L002	Feces	Rectum
MGD6_S147_L002	Feces	Rectum
MGD7_S148_L002	Feces	Rectum
MGD8_S149_L002	Feces	Rectum
MGD9_S150_L002	Feces	Rectum
SBCM10_S156_L002	Feces	Rectum
SBCM11_S163_L002	Feces	Rectum
SBCM12_S160_L002	Feces	Rectum
SBCM13_S158_L002	Feces	Rectum
SBCM14_S166_L002	Feces	Rectum
SBCM1_S159_L002	Feces	Rectum
SBCM2_S164_L002	Feces	Rectum
SBCM3_S154_L002	Feces	Rectum
SBCM4_S162_L002	Feces	Rectum
SBCM5_S155_L002	Feces	Rectum
SBCM6_S161_L002	Feces	Rectum
SBCM7_S157_L002	Feces	Rectum
SBCM8_S167_L002	Feces	Rectum
SBCM9_S165_L002	Feces	Rectum
GBCM10_S177_L002	Feces	Rectum
GBCM11_S172_L002	Feces	Rectum
GBCM1_S175_L002	Feces	Rectum
GBCM2_S178_L002	Feces	Rectum
GBCM3_S170_L002	Feces	Rectum
GBCM4_S168_L002	Feces	Rectum
GBCM5_S173_L002	Feces	Rectum
GBCM6_S174_L002	Feces	Rectum
GBCM7_S176_L002	Feces	Rectum
GBCM8_S171_L002	Feces	Rectum
GBCM9_S169_L002	Feces	Rectum
GBS1_S179_L002	Feces	Rectum
GBS2_S180_L002	Feces	Rectum
GBS3_S181_L002	Feces	Rectum
GBS4_S182_L002	Feces	Rectum
HCN1	Feces	Rectum
HCN2	Feces	Rectum
HCN3	Feces	Rectum
HCN4	Feces	Rectum
HCN5	Feces	Rectum
HCN6	Feces	Rectum
HCN7	Feces	Rectum
HCN8	Feces	Rectum
HCN9	Feces	Rectum
HCN10	Feces	Rectum
HCN11	Feces	Rectum
HCN12	Feces	Rectum
HCN13	Feces	Rectum
HCN14	Feces	Rectum
HCN15	Feces	Rectum
HCN17	Feces	Rectum
HCN18	Feces	Rectum
HCN19	Feces	Rectum
HCN20	Feces	Rectum
HCN21	Feces	Rectum
HCN22	Feces	Rectum
HCN23	Feces	Rectum
HCN24	Feces	Rectum
HCN25	Feces	Rectum
HCN26	Feces	Rectum
HCN27	Feces	Rectum
HCN28	Feces	Rectum
HCN29	Feces	Rectum
HCN30	Feces	Rectum
HCN31	Feces	Rectum
SNS1	Feces	Rectum
SNS2	Feces	Rectum
SNS3	Feces	Rectum
SNS4	Feces	Rectum
SNS5	Feces	Rectum
SNS6	Feces	Rectum
SNS7	Feces	Rectum
SNS8	Feces	Rectum
SNS9	Feces	Rectum
SNS10	Feces	Rectum
SNS12	Feces	Rectum
SNS14	Feces	Rectum
SNS15	Feces	Rectum
SMS1	Feces	Rectum
SMS4	Feces	Rectum
SMS5	Feces	Rectum
SMS6	Feces	Rectum
SMS7	Feces	Rectum
SMS8	Feces	Rectum
SMS9	Feces	Rectum
SMS10	Feces	Rectum
SMS11	Feces	Rectum
SMS12	Feces	Rectum
SMS13	Feces	Rectum
SMS14	Feces	Rectum
HDN7	Feces	Rectum
HDN8	Feces	Rectum
HDN9	Feces	Rectum
HDN5	Feces	Rectum
HDN2	Feces	Rectum
HDN3	Feces	Rectum
HDN6	Feces	Rectum
HDN10	Feces	Rectum
HDN1	Feces	Rectum
HDN4	Feces	Rectum
SZCM1	Feces	Rectum
SZCM2	Feces	Rectum
SZCM3	Feces	Rectum
SZCM4	Feces	Rectum
SZCM5	Feces	Rectum
SZCM6	Feces	Rectum
SZCM7	Feces	Rectum
SZCM8	Feces	Rectum
SZCM9	Feces	Rectum
SZCM10	Feces	Rectum
SZCM11	Feces	Rectum
SZCM12	Feces	Rectum
SZCM13	Feces	Rectum
SZCM14	Feces	Rectum
SZCM15	Feces	Rectum
SZCM16	Feces	Rectum
SZCM17	Feces	Rectum
SZCM18	Feces	Rectum
SZCM19	Feces	Rectum
SZCM20	Feces	Rectum
SZCM21	Feces	Rectum
SZCM22	Feces	Rectum
SZCM23	Feces	Rectum
SZCM24	Feces	Rectum
SZCM25	Feces	Rectum
SZCM26	Feces	Rectum
SZCM27	Feces	Rectum
SZCM28	Feces	Rectum
SZCM29	Feces	Rectum
SZCM30	Feces	Rectum
LCN1	Feces	Rectum
LCN2	Feces	Rectum
LCN3	Feces	Rectum
LCN4	Feces	Rectum
LCN5	Feces	Rectum
LCN6	Feces	Rectum
LCN7	Feces	Rectum
LCN8	Feces	Rectum
LCN9	Feces	Rectum
LCN10	Feces	Rectum
LCN11	Feces	Rectum
LCN12	Feces	Rectum
LCN13	Feces	Rectum
LCN14	Feces	Rectum
LCN15	Feces	Rectum
LCN16	Feces	Rectum
LCN17	Feces	Rectum
LCN18	Feces	Rectum
LCN19	Feces	Rectum
LCN20	Feces	Rectum
LCN21	Feces	Rectum
LCN22	Feces	Rectum
LCN23	Feces	Rectum
LCN24	Feces	Rectum
LCN25	Feces	Rectum
XBCN	Feces	Rectum
XBCN1	Feces	Rectum
XBCN12	Feces	Rectum
XBCN16	Feces	Rectum
XBCN18	Feces	Rectum
XBCN2	Feces	Rectum
XBCN24	Feces	Rectum
XBCN25	Feces	Rectum
XBCN28	Feces	Rectum
XBCN29	Feces	Rectum
XBCN3	Feces	Rectum
XBCN30	Feces	Rectum
XBCN31	Feces	Rectum
XBCN32	Feces	Rectum
XBCN34	Feces	Rectum
XBCN35	Feces	Rectum
XBCN6	Feces	Rectum
XBCN9	Feces	Rectum
XBDN1	Feces	Rectum
XBDN2	Feces	Rectum
XBDN3	Feces	Rectum
XBDN4	Feces	Rectum
XBDN5	Feces	Rectum
XBDN6	Feces	Rectum
XBDN7	Feces	Rectum
XBCN10	Feces	Rectum
XBCN11	Feces	Rectum
XBCN13	Feces	Rectum
XBCN14	Feces	Rectum
XBCN15	Feces	Rectum
XBCN17	Feces	Rectum
XBCN19	Feces	Rectum
XBCN20	Feces	Rectum
XBCN21	Feces	Rectum
XBCN22	Feces	Rectum
XBCN26	Feces	Rectum
XBCN27	Feces	Rectum
XBCN33	Feces	Rectum
XBCN5	Feces	Rectum
XBCN7	Feces	Rectum
XBCN8	Feces	Rectum
ABCN1	Feces	Rectum
ABCN10	Feces	Rectum
ABCN11	Feces	Rectum
ABCN12	Feces	Rectum
ABCN13	Feces	Rectum
ABCN14	Feces	Rectum
ABCN15	Feces	Rectum
ABCN16	Feces	Rectum
ABCN17	Feces	Rectum
ABCN18	Feces	Rectum
ABCN19	Feces	Rectum
ABCN2	Feces	Rectum
ABCN20	Feces	Rectum
ABCN21	Feces	Rectum
ABCN22	Feces	Rectum
ABCN23	Feces	Rectum
ABCN24	Feces	Rectum
ABCN25	Feces	Rectum
ABCN26	Feces	Rectum
ABCN27	Feces	Rectum
ABCN28	Feces	Rectum
ABCN29	Feces	Rectum
ABCN3	Feces	Rectum
ABCN30	Feces	Rectum
ABCN31	Feces	Rectum
ABCN32	Feces	Rectum
ABCN33	Feces	Rectum
ABCN4	Feces	Rectum
ABCN5	Feces	Rectum
ABCN6	Feces	Rectum
ABCN7	Feces	Rectum
ABCN8	Feces	Rectum
ABCN9	Feces	Rectum
ABDN1	Feces	Rectum
ABGD10	Feces	Rectum
ABGD11	Feces	Rectum
ABGD2	Feces	Rectum
ABGD3	Feces	Rectum
ABGD4	Feces	Rectum
ABGD5	Feces	Rectum
ABGD6	Feces	Rectum
ABGD7	Feces	Rectum
ABGD8	Feces	Rectum
ABGD9	Feces	Rectum
BLJ1	Feces	Rectum
BLJ10	Feces	Rectum
BLJ11	Feces	Rectum
BLJ12	Feces	Rectum
BLJ13	Feces	Rectum
BLJ14	Feces	Rectum
BLJ15	Feces	Rectum
BLJ16	Feces	Rectum
BLJ17	Feces	Rectum
BLJ18	Feces	Rectum
BLJ19	Feces	Rectum
BLJ20	Feces	Rectum
BLJ21	Feces	Rectum
BLJ22	Feces	Rectum
BLJ23	Feces	Rectum
BLJ24	Feces	Rectum
BLJ25	Feces	Rectum
BLJ26	Feces	Rectum
BLJ27	Feces	Rectum
BLJ28	Feces	Rectum
BLJ29	Feces	Rectum
BLJ30	Feces	Rectum
BLJ31	Feces	Rectum
BLJ32	Feces	Rectum
BLJ33	Feces	Rectum
BLJ35	Feces	Rectum
BLJ5	Feces	Rectum
BLJ6	Feces	Rectum
BLJ7	Feces	Rectum
BLJ8	Feces	Rectum
BLJ9	Feces	Rectum
MCN14	Feces	Rectum
MCN15	Feces	Rectum
MCN16	Feces	Rectum
MCN17	Feces	Rectum
MCN18	Feces	Rectum
MCN19	Feces	Rectum
MCN20	Feces	Rectum
MCN21	Feces	Rectum
MCN22	Feces	Rectum
MCN23	Feces	Rectum
MCN24	Feces	Rectum
MCN26	Feces	Rectum
MCN27	Feces	Rectum
MCN28	Feces	Rectum
MCN29	Feces	Rectum
MCN30	Feces	Rectum
MCN31	Feces	Rectum
MCN32	Feces	Rectum
MCN33	Feces	Rectum
YCN20	Feces	Rectum
YCN26	Feces	Rectum
YCN4	Feces	Rectum
YCN7	Feces	Rectum
YCN8	Feces	Rectum
MCN10	Feces	Rectum
MCN11	Feces	Rectum
MCN12	Feces	Rectum
MCN13	Feces	Rectum
MCN2	Feces	Rectum
MCN3	Feces	Rectum
MCN35	Feces	Rectum
MCN4	Feces	Rectum
MCN5	Feces	Rectum
MCN6	Feces	Rectum
MCN7	Feces	Rectum
MCN8	Feces	Rectum
YCN10	Feces	Rectum
YCN11	Feces	Rectum
YCN12	Feces	Rectum
YCN14	Feces	Rectum
