mapping_rate	data	section
62.29	human	Stomachs
56.8	human	Stomachs
50.27	human	Stomachs
51.89	human	Stomachs
52.09	human	Stomachs
49.29	human	Stomachs
50.87	human	Stomachs
52.85	human	Stomachs
50.6	human	Stomachs
52.6	human	Stomachs
53	human	Stomachs
50.15	human	Stomachs
51.2	human	Stomachs
46.13	human	Stomachs
50.69	human	Stomachs
56.08	human	Stomachs
53.5	human	Stomachs
51.31	human	Stomachs
52.79	human	Stomachs
47.6	human	Stomachs
48.75	human	Stomachs
54.23	human	Stomachs
43.11	human	Stomachs
48.33	human	Stomachs
50.59	human	Stomachs
45.9	human	Stomachs
51.37	human	Stomachs
61.65	human	Stomachs
47.64	human	Stomachs
44.2	human	Stomachs
47.06	human	Stomachs
48.15	human	Stomachs
46.63	human	Stomachs
48.12	human	Stomachs
51.46	human	Stomachs
49.16	human	Stomachs
49	human	Stomachs
58.45	human	Stomachs
50.54	human	Stomachs
47.62	human	Stomachs
52.39	human	Stomachs
47.08	human	Stomachs
53.63	human	Stomachs
50.98	human	Stomachs
48.83	human	Stomachs
57.85	human	Stomachs
49.31	human	Stomachs
52.79	human	Stomachs
50.41	human	Stomachs
39.69	human	Stomachs
49.7	human	Stomachs
59.06	human	Stomachs
53.08	human	Stomachs
52.22	human	Stomachs
52	human	Stomachs
48.95	human	Stomachs
52.76	human	Stomachs
52.43	human	Stomachs
50.9	human	Stomachs
47.77	human	Stomachs
49.86	human	Stomachs
50.4	human	Stomachs
47.11	human	Stomachs
52.69	human	Stomachs
48.76	human	Stomachs
49.14	human	Stomachs
49.44	human	Stomachs
46.41	human	Stomachs
47.56	human	Stomachs
49.88	human	Stomachs
46.04	human	Stomachs
52.11	human	Stomachs
50.45	human	Stomachs
44.65	human	Stomachs
45.4	human	Stomachs
45.28	human	Stomachs
49.47	human	Stomachs
51.86	human	Stomachs
51.02	human	Stomachs
47.77	human	Stomachs
74.63	human	Stomachs
69.43	human	Stomachs
74.49	human	Stomachs
64.77	human	Stomachs
70.91	human	Rectum
71.91	human	Stomachs
56.37	human	Stomachs
63.63	human	Rectum
64.83	human	Rectum
66.08	human	Rectum
77.11	human	Stomachs
68.96	human	Rectum
61.67	human	Rectum
63.11	human	Stomachs
65.24	human	Rectum
65.24	human	Rectum
72.48	human	Rectum
66.31	human	Rectum
62.21	human	Rectum
71.87	human	Stomachs
63.48	human	Rectum
70.18	human	Rectum
65.58	human	Rectum
61.19	human	Rectum
65.35	human	Rectum
62.07	human	Stomachs
52.77	human	Stomachs
59.31	human	Stomachs
56.96	human	Stomachs
62.03	human	Stomachs
64.6	human	Rectum
